name,gene
"KEGG_NON_SMALL_CELL_LUNG_CANCER","CDK4"
"KEGG_NON_SMALL_CELL_LUNG_CANCER","PDPK1"
"KEGG_NON_SMALL_CELL_LUNG_CANCER","PIK3CG"
"KEGG_NON_SMALL_CELL_LUNG_CANCER","RASSF1"
"KEGG_NON_SMALL_CELL_LUNG_CANCER","PRKCA"
"KEGG_NON_SMALL_CELL_LUNG_CANCER","AKT2"
"KEGG_NON_SMALL_CELL_LUNG_CANCER","RXRA"
"KEGG_NON_SMALL_CELL_LUNG_CANCER","SOS1"
"KEGG_NON_SMALL_CELL_LUNG_CANCER","AKT1"
"KEGG_NON_SMALL_CELL_LUNG_CANCER","RB1"
"KEGG_NON_SMALL_CELL_LUNG_CANCER","RARB"
"KEGG_NON_SMALL_CELL_LUNG_CANCER","CDKN2A"
"KEGG_NON_SMALL_CELL_LUNG_CANCER","E2F3"
"KEGG_NON_SMALL_CELL_LUNG_CANCER","PIK3R3"
"KEGG_NON_SMALL_CELL_LUNG_CANCER","E2F1"
"KEGG_NON_SMALL_CELL_LUNG_CANCER","BRAF"
"KEGG_NON_SMALL_CELL_LUNG_CANCER","CDK6"
"KEGG_NON_SMALL_CELL_LUNG_CANCER","EGFR"
"KEGG_BLADDER_CANCER","MMP1"
"KEGG_BLADDER_CANCER","TP53"
"KEGG_BLADDER_CANCER","CCND1"
"KEGG_BLADDER_CANCER","MAP2K2"
"KEGG_BLADDER_CANCER","KRAS"
"KEGG_BLADDER_CANCER","CDKN1A"
"KEGG_BLADDER_CANCER","RPS6KA5"
"KEGG_BLADDER_CANCER","ERBB2"
"KEGG_BLADDER_CANCER","IL8"
"KEGG_BLADDER_CANCER","EGF"
"KEGG_BLADDER_CANCER","MAPK1"
"KEGG_BLADDER_CANCER","CDH1"
"KEGG_BLADDER_CANCER","ARAF"
"KEGG_BLADDER_CANCER","E2F2"
"KEGG_BLADDER_CANCER","FIGF"
"KEGG_BLADDER_CANCER","MAPK3"
"KEGG_BLADDER_CANCER","RAF1"
"KEGG_BLADDER_CANCER","MAP2K1"
"KEGG_BLADDER_CANCER","DAPK1"
"KEGG_BLADDER_CANCER","HRAS"
"KEGG_BLADDER_CANCER","PGF"
"KEGG_BLADDER_CANCER","NRAS"
"KEGG_BLADDER_CANCER","MMP9"
"KEGG_BLADDER_CANCER","CDK4"
"KEGG_BLADDER_CANCER","DAPK2"
"KEGG_BLADDER_CANCER","MDM2"
"KEGG_BLADDER_CANCER","RASSF1"
"KEGG_BLADDER_CANCER","TYMP"
"KEGG_BLADDER_CANCER","VEGFC"
"KEGG_BLADDER_CANCER","RB1"
"KEGG_BLADDER_CANCER","CDKN2A"
"KEGG_BLADDER_CANCER","E2F3"
"KEGG_BLADDER_CANCER","VEGFA"
"KEGG_BLADDER_CANCER","MYC"
"KEGG_BLADDER_CANCER","VEGFB"
"KEGG_BLADDER_CANCER","E2F1"
"KEGG_BLADDER_CANCER","BRAF"
"KEGG_BLADDER_CANCER","MMP2"
"KEGG_BLADDER_CANCER","DAPK3"
"KEGG_BLADDER_CANCER","EGFR"
"KEGG_BLADDER_CANCER","FGFR3"
"KEGG_BLADDER_CANCER","THBS1"
"KEGG_THYROID_CANCER","RXRG"
"KEGG_THYROID_CANCER","TP53"
"KEGG_THYROID_CANCER","CCND1"
"KEGG_THYROID_CANCER","MAP2K2"
"KEGG_THYROID_CANCER","KRAS"
"KEGG_THYROID_CANCER","PPARG"
"KEGG_THYROID_CANCER","RXRB"
"KEGG_THYROID_CANCER","RET"
"KEGG_THYROID_CANCER","TPR"
"KEGG_THYROID_CANCER","MAPK1"
"KEGG_THYROID_CANCER","CDH1"
"KEGG_THYROID_CANCER","TFG"
"KEGG_THYROID_CANCER","CTNNB1"
"KEGG_THYROID_CANCER","MAPK3"
"KEGG_THYROID_CANCER","PAX8"
"KEGG_THYROID_CANCER","MAP2K1"
"KEGG_THYROID_CANCER","HRAS"
"KEGG_THYROID_CANCER","LEF1"
"KEGG_THYROID_CANCER","NRAS"
"KEGG_THYROID_CANCER","NCOA4"
"KEGG_THYROID_CANCER","RXRA"
"KEGG_THYROID_CANCER","TPM3"
"KEGG_THYROID_CANCER","CCDC6"
"KEGG_THYROID_CANCER","NTRK1"
"KEGG_THYROID_CANCER","TCF7"
"KEGG_THYROID_CANCER","TCF7L2"
"KEGG_THYROID_CANCER","MYC"
"KEGG_THYROID_CANCER","BRAF"
"KEGG_THYROID_CANCER","TCF7L1"
"KEGG_RENAL_CELL_CARCINOMA","ARNT2"
"KEGG_RENAL_CELL_CARCINOMA","PIK3CB"
"KEGG_RENAL_CELL_CARCINOMA","RAC1"
"KEGG_RENAL_CELL_CARCINOMA","MAP2K2"
"KEGG_RENAL_CELL_CARCINOMA","KRAS"
"KEGG_RENAL_CELL_CARCINOMA","AKT3"
"KEGG_RENAL_CELL_CARCINOMA","PIK3R2"
"KEGG_RENAL_CELL_CARCINOMA","SOS2"
"KEGG_RENAL_CELL_CARCINOMA","PIK3R1"
"KEGG_RENAL_CELL_CARCINOMA","JUN"
"KEGG_RENAL_CELL_CARCINOMA","PIK3CD"
"KEGG_RENAL_CELL_CARCINOMA","PIK3CA"
"KEGG_RENAL_CELL_CARCINOMA","PAK4"
"KEGG_RENAL_CELL_CARCINOMA","CRKL"
"KEGG_RENAL_CELL_CARCINOMA","MAPK1"
"KEGG_RENAL_CELL_CARCINOMA","PAK7"
"KEGG_RENAL_CELL_CARCINOMA","ARAF"
"KEGG_RENAL_CELL_CARCINOMA","VHL"
"KEGG_RENAL_CELL_CARCINOMA","RAPGEF1"
"KEGG_RENAL_CELL_CARCINOMA","PAK2"
"KEGG_RENAL_CELL_CARCINOMA","FIGF"
"KEGG_RENAL_CELL_CARCINOMA","MAPK3"
"KEGG_RENAL_CELL_CARCINOMA","RAF1"
"KEGG_RENAL_CELL_CARCINOMA","MAP2K1"
"KEGG_RENAL_CELL_CARCINOMA","GRB2"
